trip_id,pickup_time,drop_time,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,payment_method,fare_amount,surge_fare,Total_fare
28,27-04-2025 19:38,27-04-2025 20:12,1,19.25,233,111,1,Cash,41.63,0.54,42.17
29,13-04-2025 15:51,13-04-2025 16:34,1,24.27,251,24,1,Cash,51.83,1.71,53.54
30,01-04-2025 07:05,01-04-2025 07:31,3,24.84,126,50,1,Cash,52.99,9.25,62.24
31,08-04-2025 06:23,08-04-2025 06:29,3,26.11,235,37,1,Cash,55.57,4.89,60.46
32,20-04-2025 05:36,20-04-2025 06:25,2,12.72,138,181,2,Uber Pay,28.35,8.22,36.57
33,16-04-2025 11:38,16-04-2025 11:51,4,21.09,49,253,3,Google Pay,45.37,7.27,52.64
34,13-04-2025 15:30,13-04-2025 16:16,4,8.41,186,25,4,Amazon Pay,19.59,3.21,22.8
35,08-04-2025 01:49,08-04-2025 01:54,6,29.98,205,125,2,Uber Pay,63.44,8.04,71.48
36,10-04-2025 19:10,10-04-2025 19:53,6,5.67,78,31,3,Google Pay,14.02,0.91,14.93
37,16-04-2025 07:39,16-04-2025 08:14,6,0.8,194,237,2,Uber Pay,4.13,8.75,12.88
38,05-04-2025 15:38,05-04-2025 15:43,3,4.89,103,227,2,Uber Pay,12.44,6.81,19.25
39,05-04-2025 05:18,05-04-2025 05:23,4,23.39,105,38,2,Uber Pay,50.04,9.27,59.31
40,18-04-2025 06:58,18-04-2025 07:46,4,13.68,211,58,3,Google Pay,30.31,8.96,39.27
41,05-04-2025 09:38,05-04-2025 09:54,1,13.7,250,236,3,Google Pay,30.35,3.8,34.15
42,17-04-2025 08:06,17-04-2025 08:37,3,28.67,201,181,3,Google Pay,60.77,8.57,69.34
43,16-04-2025 15:41,16-04-2025 16:21,5,27.63,24,114,3,Google Pay,58.66,5.63,64.29
44,28-04-2025 11:25,28-04-2025 12:14,3,9.68,83,132,3,Google Pay,22.17,1.57,23.74
45,13-04-2025 00:55,13-04-2025 01:45,5,6.67,179,180,3,Google Pay,16.06,8.3,24.36
46,02-04-2025 23:27,03-04-2025 00:03,1,25.53,206,78,3,Google Pay,54.39,9.08,63.47
47,21-04-2025 21:48,21-04-2025 22:41,2,27.23,40,220,3,Google Pay,57.85,0.85,58.7
48,25-04-2025 09:42,25-04-2025 10:12,4,16.48,113,142,3,Google Pay,36,9.31,45.31
49,06-04-2025 16:20,06-04-2025 16:59,1,19.07,4,43,3,Google Pay,41.26,6.01,47.27
50,18-04-2025 05:27,18-04-2025 05:37,4,8.08,108,118,3,Google Pay,18.92,0.26,19.18
51,04-04-2025 14:04,04-04-2025 14:59,6,24.12,114,59,3,Google Pay,51.52,5.42,56.94
52,26-04-2025 02:58,26-04-2025 03:44,2,19.15,167,61,3,Google Pay,41.42,7.97,49.39
53,14-04-2025 08:13,14-04-2025 08:59,2,15.35,261,41,3,Google Pay,33.7,5.33,39.03
54,29-04-2025 14:38,29-04-2025 14:47,1,2.27,106,188,3,Google Pay,7.11,7.07,14.18
55,29-04-2025 03:35,29-04-2025 04:14,2,27.52,224,187,3,Google Pay,58.44,8.8,67.24
56,17-04-2025 11:00,17-04-2025 11:06,5,18.66,262,228,3,Google Pay,40.43,8.7,49.13
57,27-04-2025 06:37,27-04-2025 07:35,2,6.18,251,164,3,Google Pay,15.06,1.79,16.85
58,09-04-2025 18:01,09-04-2025 18:58,4,18.39,14,102,3,Google Pay,39.88,4.27,44.15
59,04-04-2025 03:58,04-04-2025 04:45,4,20.49,198,124,3,Google Pay,44.15,1.11,45.26
60,03-04-2025 02:03,03-04-2025 02:36,4,16.01,126,153,3,Google Pay,35.04,5.95,40.99
61,11-04-2025 08:55,11-04-2025 09:43,4,21.68,206,179,3,Google Pay,46.57,9.55,56.12
62,14-04-2025 04:05,14-04-2025 04:17,5,17.65,140,66,3,Google Pay,38.37,1.82,40.19
63,04-04-2025 15:09,04-04-2025 15:36,3,28.46,62,99,3,Google Pay,60.35,4.04,64.39
64,11-04-2025 14:16,11-04-2025 15:13,6,2.08,54,24,3,Google Pay,6.73,9.54,16.27
65,05-04-2025 14:19,05-04-2025 14:48,1,3.63,12,249,3,Google Pay,9.88,7.5,17.38
66,18-04-2025 07:11,18-04-2025 08:08,4,5.62,136,165,3,Google Pay,13.92,0.71,14.63
67,13-04-2025 15:37,13-04-2025 16:20,2,20.86,144,94,3,Google Pay,44.9,4.28,49.18
68,21-04-2025 15:14,21-04-2025 15:41,4,19.55,136,124,3,Google Pay,42.24,9.88,52.12
69,29-04-2025 22:20,29-04-2025 22:49,2,26.82,221,156,3,Google Pay,57.01,4.53,61.54
70,17-04-2025 14:29,17-04-2025 14:45,6,22.12,209,249,3,Google Pay,47.46,6.29,53.75
71,08-04-2025 09:39,08-04-2025 10:37,6,15.5,123,58,3,Google Pay,34,7.01,41.01
72,17-04-2025 20:20,17-04-2025 21:14,6,29.76,116,195,3,Google Pay,62.99,6.64,69.63
73,17-04-2025 04:03,17-04-2025 04:59,2,8.35,157,201,3,Google Pay,19.47,5.19,24.66
74,10-04-2025 12:50,10-04-2025 13:39,4,25.08,17,72,3,Google Pay,53.48,1.33,54.81
75,13-04-2025 03:36,13-04-2025 03:41,6,13.09,219,247,3,Google Pay,29.11,7.08,36.19
76,30-04-2025 11:49,30-04-2025 12:01,5,19.64,238,98,3,Google Pay,42.42,9.33,51.75
77,04-04-2025 05:59,04-04-2025 06:33,2,21.95,33,81,3,Google Pay,47.11,9.42,56.53
78,28-04-2025 17:20,28-04-2025 17:48,2,19.2,37,65,3,Google Pay,41.52,5.93,47.45
79,29-04-2025 21:33,29-04-2025 21:50,4,4.64,103,5,3,Google Pay,11.93,4.92,16.85
80,08-04-2025 18:55,08-04-2025 19:28,2,13.57,211,81,3,Google Pay,30.08,3.34,33.42
81,25-04-2025 07:25,25-04-2025 07:30,2,17.06,142,87,3,Google Pay,37.18,1.04,38.22
82,12-04-2025 03:23,12-04-2025 03:42,6,25.55,239,197,3,Google Pay,54.43,8.83,63.26
83,08-04-2025 10:28,08-04-2025 11:20,4,13.59,229,252,3,Google Pay,30.12,1.37,31.49
84,22-04-2025 00:54,22-04-2025 01:00,6,27.6,133,83,3,Google Pay,58.6,2.88,61.48
85,18-04-2025 06:27,18-04-2025 07:20,6,13.49,125,27,3,Google Pay,29.92,7.4,37.32
86,13-04-2025 06:51,13-04-2025 07:13,4,16.69,53,182,3,Google Pay,36.42,7.05,43.47
87,30-04-2025 03:03,30-04-2025 03:51,1,23.99,88,135,3,Google Pay,51.26,6.81,58.07
88,26-04-2025 08:20,26-04-2025 09:10,6,17.7,98,90,3,Google Pay,38.48,7.42,45.9
89,10-04-2025 23:52,11-04-2025 00:19,5,28.83,95,206,3,Google Pay,61.1,5.42,66.52
90,15-04-2025 18:12,15-04-2025 18:29,5,19.98,188,27,3,Google Pay,43.11,1.55,44.66
91,03-04-2025 13:05,03-04-2025 13:15,2,15.92,256,59,3,Google Pay,34.86,9.98,44.84
92,11-04-2025 10:10,11-04-2025 11:07,5,1.2,73,72,3,Google Pay,4.94,8.92,13.86
93,02-04-2025 11:03,02-04-2025 11:47,2,12.71,18,227,3,Google Pay,28.33,4.31,32.64
94,15-04-2025 08:33,15-04-2025 09:18,1,9.33,164,91,3,Google Pay,21.46,5.3,26.76
95,19-04-2025 06:10,19-04-2025 06:34,4,22.57,146,68,3,Google Pay,48.37,3.94,52.31
96,13-04-2025 04:26,13-04-2025 05:22,4,6.64,253,260,3,Google Pay,16,6.38,22.38
97,04-04-2025 00:17,04-04-2025 01:07,4,6.55,160,146,3,Google Pay,15.81,7.31,23.12
98,10-04-2025 14:26,10-04-2025 14:45,5,6.09,49,63,3,Google Pay,14.88,2.32,17.2
99,26-04-2025 19:30,26-04-2025 19:49,1,4.21,176,180,3,Google Pay,11.06,4.33,15.39
100,15-04-2025 07:42,15-04-2025 08:18,5,9.67,65,111,3,Google Pay,22.15,6.4,28.55
101,10-04-2025 16:14,10-04-2025 16:42,5,26.63,50,191,3,Google Pay,56.63,9.88,66.51
102,30-04-2025 19:54,30-04-2025 20:01,1,23.36,4,246,3,Google Pay,49.98,3.25,53.23
103,23-04-2025 17:17,23-04-2025 17:39,1,22.19,119,123,3,Google Pay,47.6,7.45,55.05
104,19-04-2025 00:08,19-04-2025 00:44,1,24.02,164,57,3,Google Pay,51.32,3.47,54.79
105,30-04-2025 06:09,30-04-2025 06:59,1,8.45,223,160,3,Google Pay,19.67,0.92,20.59
106,21-04-2025 21:11,21-04-2025 22:01,4,26.68,156,127,3,Google Pay,56.73,7.7,64.43
107,07-04-2025 12:03,07-04-2025 12:46,3,4.55,262,225,3,Google Pay,11.75,6.49,18.24
108,13-04-2025 01:19,13-04-2025 01:37,3,10.42,173,95,3,Google Pay,23.68,5.14,28.82
109,07-04-2025 08:30,07-04-2025 08:35,1,17.81,23,6,3,Google Pay,38.7,6.75,45.45
110,12-04-2025 05:22,12-04-2025 05:39,3,3.54,61,234,3,Google Pay,9.7,8.79,18.49
111,26-04-2025 13:09,26-04-2025 14:06,3,22.04,134,16,3,Google Pay,47.3,7.57,54.87
112,25-04-2025 12:42,25-04-2025 13:27,1,11.92,24,140,3,Google Pay,26.73,8.58,35.31
113,12-04-2025 22:59,12-04-2025 23:29,3,23.64,45,195,3,Google Pay,50.55,2.9,53.45
114,27-04-2025 14:31,27-04-2025 14:43,5,15.04,179,186,3,Google Pay,33.07,8,41.07
115,20-04-2025 11:57,20-04-2025 12:57,2,5.84,63,125,3,Google Pay,14.37,3.6,17.97
116,27-04-2025 13:22,27-04-2025 13:44,2,22.18,29,17,3,Google Pay,47.58,0.21,47.79
117,19-04-2025 04:15,19-04-2025 04:56,1,7.94,96,26,3,Google Pay,18.64,0.43,19.07
118,17-04-2025 11:23,17-04-2025 12:00,4,14.98,55,213,3,Google Pay,32.95,7.3,40.25
119,10-04-2025 23:33,11-04-2025 00:09,1,2.73,153,1,3,Google Pay,8.05,2.72,10.77
120,07-04-2025 07:05,07-04-2025 07:20,4,18.73,219,38,3,Google Pay,40.57,3.08,43.65
121,24-04-2025 04:32,24-04-2025 05:12,2,20.14,173,233,3,Google Pay,43.44,6.23,49.67
122,23-04-2025 11:03,23-04-2025 11:20,1,11.67,96,260,3,Google Pay,26.22,7.42,33.64
123,05-04-2025 03:17,05-04-2025 04:04,6,28.66,123,261,3,Google Pay,60.75,5.59,66.34
124,03-04-2025 03:27,03-04-2025 04:19,5,26.29,12,238,3,Google Pay,55.94,7.06,63
125,05-04-2025 23:45,06-04-2025 00:26,3,21.38,4,106,3,Google Pay,45.96,9.41,55.37
126,07-04-2025 22:56,07-04-2025 23:44,4,21.55,67,247,3,Google Pay,46.3,8.54,54.84
127,29-04-2025 13:20,29-04-2025 14:08,6,7.95,145,38,3,Google Pay,18.66,2.41,21.07
128,08-04-2025 06:44,08-04-2025 07:27,3,19.88,65,46,3,Google Pay,42.91,9.07,51.98
129,20-04-2025 05:06,20-04-2025 05:47,3,6.35,82,210,3,Google Pay,15.41,2.97,18.38
130,28-04-2025 03:26,28-04-2025 03:42,1,4.75,105,93,3,Google Pay,12.15,6.61,18.76
131,03-04-2025 21:23,03-04-2025 21:32,3,29.98,181,220,3,Google Pay,63.44,8.75,72.19
132,18-04-2025 12:16,18-04-2025 12:58,5,18.86,105,256,3,Google Pay,40.83,6.23,47.06
133,18-04-2025 08:49,18-04-2025 09:02,6,13.21,226,137,3,Google Pay,29.35,8.06,37.41
134,28-04-2025 02:52,28-04-2025 03:44,3,9,28,231,3,Google Pay,20.79,9.27,30.06
135,22-04-2025 07:14,22-04-2025 07:23,1,18.32,16,202,3,Google Pay,39.74,9.67,49.41
136,25-04-2025 01:56,25-04-2025 02:09,5,1.96,54,66,3,Google Pay,6.48,4.11,10.59
137,12-04-2025 10:36,12-04-2025 10:57,2,3.29,114,38,3,Google Pay,9.19,9.93,19.12
138,26-04-2025 04:16,26-04-2025 04:57,6,1.47,38,155,3,Google Pay,5.49,2.72,8.21
139,01-04-2025 12:32,01-04-2025 13:31,3,15.23,230,105,3,Google Pay,33.46,4.62,38.08
140,06-04-2025 05:07,06-04-2025 05:26,1,18.22,166,255,3,Google Pay,39.53,7.61,47.14
141,25-04-2025 10:30,25-04-2025 11:08,2,2.34,182,16,3,Google Pay,7.26,9.7,16.96
142,13-04-2025 03:26,13-04-2025 04:17,2,21.78,205,79,3,Google Pay,46.77,0.53,47.3
143,30-04-2025 04:06,30-04-2025 05:01,4,7.3,245,13,3,Google Pay,17.34,9.46,26.8
144,16-04-2025 11:33,16-04-2025 11:55,5,20.71,121,102,3,Google Pay,44.59,9.99,54.58
145,06-04-2025 01:50,06-04-2025 02:07,3,29.47,259,152,3,Google Pay,62.4,9.1,71.5
146,14-04-2025 08:34,14-04-2025 09:33,1,20.89,210,178,3,Google Pay,44.96,1.08,46.04
147,20-04-2025 18:52,20-04-2025 19:40,4,26.55,194,87,3,Google Pay,56.46,8.41,64.87
148,08-04-2025 04:45,08-04-2025 04:51,5,28.47,68,88,3,Google Pay,60.37,6.4,66.77
149,21-04-2025 15:35,21-04-2025 16:24,4,14.86,114,29,3,Google Pay,32.7,0.1,32.8
150,01-04-2025 03:32,01-04-2025 04:20,6,21.22,220,100,3,Google Pay,45.63,9.84,55.47
151,12-04-2025 23:41,13-04-2025 00:20,5,25.63,220,115,3,Google Pay,54.59,1.51,56.1
152,23-04-2025 18:46,23-04-2025 19:30,5,11.02,218,210,3,Google Pay,24.9,3.97,28.87
153,09-04-2025 03:08,09-04-2025 03:29,3,8.21,237,74,3,Google Pay,19.19,0.3,19.49
154,24-04-2025 02:31,24-04-2025 03:19,5,28.42,94,135,3,Google Pay,60.26,3.1,63.36
155,05-04-2025 20:13,05-04-2025 20:53,4,21.93,253,78,3,Google Pay,47.07,5.68,52.75
156,29-04-2025 10:59,29-04-2025 11:33,5,6.98,215,125,3,Google Pay,16.69,9.31,26
157,14-04-2025 13:58,14-04-2025 14:03,3,13.75,258,38,3,Google Pay,30.45,9.9,40.35
158,30-04-2025 01:54,30-04-2025 02:26,3,24,240,106,3,Google Pay,51.28,4.23,55.51
159,24-04-2025 02:30,24-04-2025 03:16,6,16.64,214,44,3,Google Pay,36.32,4.28,40.6
160,28-04-2025 17:09,28-04-2025 17:57,4,19.67,98,225,3,Google Pay,42.48,1.6,44.08
161,10-04-2025 01:15,10-04-2025 02:01,2,22.74,16,242,3,Google Pay,48.72,4.98,53.7
162,07-04-2025 22:56,07-04-2025 23:04,2,18.85,154,153,3,Google Pay,40.81,9.4,50.21
163,18-04-2025 00:24,18-04-2025 01:23,5,16.43,16,24,3,Google Pay,35.89,1.65,37.54
164,08-04-2025 08:27,08-04-2025 08:52,6,22.61,198,124,3,Google Pay,48.46,2.66,51.12
165,25-04-2025 13:08,25-04-2025 13:40,1,21.96,108,261,3,Google Pay,47.13,8.91,56.04
166,25-04-2025 03:17,25-04-2025 04:16,5,19.08,23,146,3,Google Pay,41.28,6.26,47.54
167,01-04-2025 00:37,01-04-2025 01:08,6,11.11,42,191,3,Google Pay,25.08,3.31,28.39
168,28-04-2025 06:12,28-04-2025 06:34,4,12.47,37,165,3,Google Pay,27.85,8.13,35.98
169,15-04-2025 18:03,15-04-2025 18:15,4,29.13,165,71,3,Google Pay,61.71,1.09,62.8
170,23-04-2025 05:41,23-04-2025 06:29,4,3.82,116,201,3,Google Pay,10.26,8.58,18.84
171,01-04-2025 21:16,01-04-2025 21:54,4,8.42,150,12,3,Google Pay,19.61,5.18,24.79
172,06-04-2025 02:11,06-04-2025 02:45,4,15.03,6,52,3,Google Pay,33.05,7.57,40.62
173,17-04-2025 12:28,17-04-2025 13:04,6,25.18,32,256,3,Google Pay,53.68,5.18,58.86
174,14-04-2025 23:53,15-04-2025 00:21,6,5.33,145,9,3,Google Pay,13.33,2.46,15.79
175,11-04-2025 21:32,11-04-2025 22:10,3,8.67,177,140,3,Google Pay,20.12,6.41,26.53
176,03-04-2025 15:16,03-04-2025 16:09,2,2.44,177,100,3,Google Pay,7.46,1.55,9.01
177,11-04-2025 23:05,11-04-2025 23:12,4,21.33,61,137,3,Google Pay,45.85,2.3,48.15
178,26-04-2025 19:42,26-04-2025 20:33,1,7.53,77,22,3,Google Pay,17.81,5.49,23.3
179,04-04-2025 14:01,04-04-2025 14:20,6,11.97,86,145,3,Google Pay,26.83,3.9,30.73
180,04-04-2025 21:33,04-04-2025 21:41,1,13.59,191,161,3,Google Pay,30.12,7.45,37.57
181,23-04-2025 02:49,23-04-2025 03:11,1,26.79,7,249,3,Google Pay,56.95,5.84,62.79
182,04-04-2025 03:35,04-04-2025 04:06,1,12.63,85,175,3,Google Pay,28.17,3.81,31.98
183,25-04-2025 05:51,25-04-2025 06:30,3,4.78,262,88,3,Google Pay,12.22,3.27,15.49
184,06-04-2025 17:21,06-04-2025 17:54,6,15.97,259,33,3,Google Pay,34.96,9.13,44.09
185,06-04-2025 20:14,06-04-2025 20:39,1,28.91,47,226,3,Google Pay,61.26,0.4,61.66
186,22-04-2025 15:08,22-04-2025 15:13,4,18.43,94,112,3,Google Pay,39.96,6.91,46.87
187,26-04-2025 00:31,26-04-2025 01:01,5,29.51,224,82,3,Google Pay,62.48,3.92,66.4
188,08-04-2025 12:21,08-04-2025 12:38,1,25.31,3,213,3,Google Pay,53.94,3.77,57.71
189,13-04-2025 01:30,13-04-2025 01:56,3,1.56,129,8,3,Google Pay,5.67,6.52,12.19
190,25-04-2025 00:21,25-04-2025 00:31,6,19.92,249,134,3,Google Pay,42.99,8.5,51.49
191,28-04-2025 14:33,28-04-2025 15:14,3,8.96,229,118,3,Google Pay,20.71,7.24,27.95
192,20-04-2025 06:10,20-04-2025 07:06,1,17.01,131,84,3,Google Pay,37.07,6.7,43.77
193,10-04-2025 15:20,10-04-2025 15:26,6,8.74,228,258,3,Google Pay,20.26,4.96,25.22
194,25-04-2025 13:03,25-04-2025 13:55,5,10.79,177,243,3,Google Pay,24.43,4.69,29.12
195,10-04-2025 03:42,10-04-2025 04:01,1,27.73,31,237,3,Google Pay,58.86,4.61,63.47
196,15-04-2025 04:28,15-04-2025 05:17,3,6.6,66,150,3,Google Pay,15.91,1.45,17.36
197,19-04-2025 03:48,19-04-2025 04:20,2,26.29,206,21,3,Google Pay,55.94,5.6,61.54
198,30-04-2025 13:50,30-04-2025 13:59,4,1.4,101,134,3,Google Pay,5.35,3.15,8.5
199,17-04-2025 23:52,18-04-2025 00:12,3,3.18,31,96,3,Google Pay,8.96,6.18,15.14
200,20-04-2025 22:31,20-04-2025 22:48,6,25.71,191,13,3,Google Pay,54.76,5.34,60.1
201,24-04-2025 13:19,24-04-2025 13:34,1,19.1,66,1,3,Google Pay,41.32,9.4,50.72
202,21-04-2025 13:08,21-04-2025 13:34,4,22.54,235,150,3,Google Pay,48.31,4.35,52.66
203,06-04-2025 12:10,06-04-2025 12:34,1,6.68,202,117,3,Google Pay,16.08,6.64,22.72
204,12-04-2025 06:46,12-04-2025 06:55,6,16.34,225,152,3,Google Pay,35.71,5.93,41.64
205,11-04-2025 05:25,11-04-2025 06:10,1,22.25,83,64,3,Google Pay,47.72,6.84,54.56
206,03-04-2025 21:56,03-04-2025 22:41,2,19.01,46,150,3,Google Pay,41.14,2.67,43.81
207,16-04-2025 09:16,16-04-2025 09:27,4,14.42,89,12,3,Google Pay,31.81,2.57,34.38
208,01-04-2025 22:58,01-04-2025 23:04,4,28.81,186,90,3,Google Pay,61.06,5.6,66.66
209,27-04-2025 18:35,27-04-2025 19:10,6,20.45,189,83,3,Google Pay,44.07,8.49,52.56
210,26-04-2025 05:01,26-04-2025 05:33,2,27.28,246,250,3,Google Pay,57.95,7.2,65.15
211,11-04-2025 11:20,11-04-2025 12:16,3,22.03,46,33,3,Google Pay,47.28,4.89,52.17
212,27-04-2025 18:44,27-04-2025 18:50,1,22.2,257,149,3,Google Pay,47.62,2.55,50.17
213,11-04-2025 00:32,11-04-2025 01:14,5,2.86,61,128,3,Google Pay,8.31,7.59,15.9
214,01-04-2025 07:51,01-04-2025 08:47,1,11.1,105,100,3,Google Pay,25.06,9.26,34.32
215,04-04-2025 05:32,04-04-2025 06:17,1,25.82,14,212,3,Google Pay,54.98,2.13,57.11
216,29-04-2025 17:19,29-04-2025 17:45,3,7.36,77,74,3,Google Pay,17.46,7.99,25.45
217,03-04-2025 16:18,03-04-2025 17:16,1,3.91,230,96,3,Google Pay,10.45,1.72,12.17
218,11-04-2025 10:03,11-04-2025 10:24,2,10.12,167,92,3,Google Pay,23.07,9.01,32.08
219,04-04-2025 01:37,04-04-2025 01:57,2,7,66,175,3,Google Pay,16.73,6.42,23.15
220,02-04-2025 10:18,02-04-2025 10:29,4,27.8,32,225,3,Google Pay,59,1.81,60.81
221,16-04-2025 00:54,16-04-2025 01:29,6,26.11,96,175,3,Google Pay,55.57,0.36,55.93
222,04-04-2025 05:23,04-04-2025 05:43,5,15.24,58,56,3,Google Pay,33.48,6.95,40.43
223,24-04-2025 09:35,24-04-2025 10:01,1,2.31,104,35,3,Google Pay,7.2,6.06,13.26
224,11-04-2025 19:57,11-04-2025 20:55,1,21.58,134,119,3,Google Pay,46.36,6.11,52.47
225,13-04-2025 16:10,13-04-2025 16:18,3,18.89,217,56,3,Google Pay,40.89,4.82,45.71
226,23-04-2025 02:12,23-04-2025 03:09,6,29.13,67,105,3,Google Pay,61.71,6.14,67.85
227,10-04-2025 18:00,10-04-2025 18:26,2,16.99,178,176,3,Google Pay,37.03,8.73,45.76
228,25-04-2025 12:59,25-04-2025 13:37,5,10.42,247,106,3,Google Pay,23.68,9.52,33.2
229,07-04-2025 00:31,07-04-2025 01:26,4,15.81,235,80,3,Google Pay,34.63,3.45,38.08
230,26-04-2025 23:43,27-04-2025 00:03,2,29.39,131,163,3,Google Pay,62.24,4.88,67.12
231,27-04-2025 05:22,27-04-2025 05:31,6,21.04,112,51,3,Google Pay,45.26,2.73,47.99
232,22-04-2025 12:16,22-04-2025 13:10,4,20.32,54,75,3,Google Pay,43.8,4.12,47.92
233,12-04-2025 01:25,12-04-2025 02:08,3,7.6,239,127,3,Google Pay,17.95,7.96,25.91
234,22-04-2025 12:36,22-04-2025 13:20,3,22.44,240,246,3,Google Pay,48.11,4.25,52.36
235,19-04-2025 12:37,19-04-2025 13:10,1,22.63,112,234,3,Google Pay,48.5,3.92,52.42
236,09-04-2025 15:58,09-04-2025 16:51,6,9.86,88,155,3,Google Pay,22.54,8.5,31.04
237,05-04-2025 07:01,05-04-2025 07:12,5,14.77,228,73,3,Google Pay,32.52,0.01,32.53
238,05-04-2025 09:52,05-04-2025 10:37,4,9.19,208,137,3,Google Pay,21.18,8.52,29.7
239,30-04-2025 23:47,01-05-2025 00:20,2,8.13,70,44,3,Google Pay,19.02,1.81,20.83
240,20-04-2025 14:49,20-04-2025 15:31,6,1.26,220,247,3,Google Pay,5.06,2.75,7.81
241,17-04-2025 02:59,17-04-2025 03:11,6,8.91,231,149,3,Google Pay,20.61,3.62,24.23
242,20-04-2025 06:39,20-04-2025 06:49,3,16.84,255,56,3,Google Pay,36.73,8.81,45.54
243,19-04-2025 17:01,19-04-2025 17:09,1,0.55,142,176,3,Google Pay,3.62,9.09,12.71
244,22-04-2025 06:06,22-04-2025 06:13,1,8.85,69,257,3,Google Pay,20.49,6.61,27.1
245,03-04-2025 11:10,03-04-2025 11:39,4,26.5,89,63,3,Google Pay,56.36,4.39,60.75
246,30-04-2025 17:44,30-04-2025 18:09,3,18.01,136,63,3,Google Pay,39.11,5.16,44.27
247,30-04-2025 09:48,30-04-2025 10:47,6,18.43,143,29,3,Google Pay,39.96,5.8,45.76
248,05-04-2025 11:29,05-04-2025 12:18,5,12.4,187,40,3,Google Pay,27.7,9.54,37.24
249,03-04-2025 18:12,03-04-2025 18:21,3,20.46,11,147,3,Google Pay,44.09,9.69,53.78
250,19-04-2025 07:46,19-04-2025 08:41,4,6.1,148,88,3,Google Pay,14.9,8.47,23.37
251,16-04-2025 10:36,16-04-2025 10:49,4,24.65,38,56,3,Google Pay,52.6,5.84,58.44
252,05-04-2025 23:21,05-04-2025 23:29,3,3.94,208,193,3,Google Pay,10.51,3.91,14.42
253,12-04-2025 07:35,12-04-2025 08:31,4,19.85,210,100,3,Google Pay,42.85,2.3,45.15
254,09-04-2025 17:16,09-04-2025 17:49,3,10.56,1,215,3,Google Pay,23.96,5.34,29.3
255,09-04-2025 15:45,09-04-2025 15:53,2,22.55,65,141,3,Google Pay,48.33,3.46,51.79
256,25-04-2025 09:46,25-04-2025 10:10,3,16.72,1,49,3,Google Pay,36.48,0.73,37.21
257,21-04-2025 10:00,21-04-2025 10:44,3,13.84,243,115,3,Google Pay,30.63,4.76,35.39
